P	w[0]=向	w[1]=朋友	pos[0]=P	pos[1]=N	__BOS__
N	w[-1]=向	w[0]=朋友	w[1]=抱怨	pos[-1]=P	pos[0]=N	pos[1]=Vt
Vt	w[-1]=朋友	w[0]=抱怨	w[1]=的	pos[-1]=N	pos[0]=Vt	pos[1]=T
T	w[-1]=抱怨	w[0]=的	w[1]=潛在	pos[-1]=Vt	pos[0]=T	pos[1]=A
A	w[-1]=的	w[0]=潛在	w[1]=危險	pos[-1]=T	pos[0]=A	pos[1]=Nv
Nv	w[-1]=潛在	w[0]=危險	w[1]=在	pos[-1]=A	pos[0]=Nv	pos[1]=P
P	w[-1]=危險	w[0]=在	w[1]=最	pos[-1]=Nv	pos[0]=P	pos[1]=ADV
ADV	w[-1]=在	w[0]=最	w[1]=新	pos[-1]=P	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=最	w[0]=新	w[1]=一	pos[-1]=ADV	pos[0]=Vi	pos[1]=DET
DET	w[-1]=新	w[0]=一	w[1]=期	pos[-1]=Vi	pos[0]=DET	pos[1]=M
M	w[-1]=一	w[0]=期	w[1]=的	pos[-1]=DET	pos[0]=M	pos[1]=T
T	w[-1]=期	w[0]=的	w[1]=發展	pos[-1]=M	pos[0]=T	pos[1]=Nv
Nv	w[-1]=的	w[0]=發展	w[1]=心理學	pos[-1]=T	pos[0]=Nv	pos[1]=N
N	w[-1]=發展	w[0]=心理學	w[1]=月刊	pos[-1]=Nv	pos[0]=N	pos[1]=N
N	w[-1]=心理學	w[0]=月刊	w[1]=（	pos[-1]=N	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=月刊	w[0]=（	w[1]=Developmental	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=FW
FW	w[-1]=（	w[0]=Developmental	w[1]=Psychology	pos[-1]=PARENTHESISCATEGORY	pos[0]=FW	pos[1]=FW
FW	w[-1]=Developmental	w[0]=Psychology	w[1]=）	pos[-1]=FW	pos[0]=FW	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=Psychology	w[0]=）	w[1]=刊登	pos[-1]=FW	pos[0]=PARENTHESISCATEGORY	pos[1]=Vt
Vt	w[-1]=）	w[0]=刊登	w[1]=了	pos[-1]=PARENTHESISCATEGORY	pos[0]=Vt	pos[1]=ASP
ASP	w[-1]=刊登	w[0]=了	w[1]=美國	pos[-1]=Vt	pos[0]=ASP	pos[1]=N
